text,label,notes
WHAT A GOAL. I cannot believe what I just watched. Absolute scenes,reaction,
We actually did it. After everything this season. I'm literally shaking right now,reaction,
HE SCORES AGAIN. This man is unreal. Get in there!!!,reaction,
I can't watch. Someone tell me when it's over.,reaction,
That referee decision is an absolute joke. How is that not a red card???,reaction,
YESSSSS. CHAMPIONS. I'm crying actual tears right now.,reaction,
No way that's offside. No way. VAR is a disaster.,reaction,
I turned off the game at 2-0. Never again.,reaction,
That penalty was never in a million years. Robbery.,reaction,
Half time and I need a drink. This is too stressful.,reaction,
What just happened. What. Just. Happened.,reaction,
That substitution makes zero sense. Manager has lost the plot.,reaction,Sounds like opinion on manager quality but it's tied to a specific in-game moment. reaction — emotional response to a single event not a general claim.
We're getting destroyed out there lads. Embarrassing.,reaction,
Clean sheet! Get in! Defense has been unreal today.,reaction,
He missed an open goal. An open goal. I give up.,reaction,
FULL TIME. WE DID IT. UNBELIEVABLE SCENES.,reaction,
That's it. I'm done with this club. See you next week.,reaction,Contains hyperbole but is clearly a match-moment emotional reaction. reaction — not a general claim about the club.
Oh my god that save. How did he get to that?!,reaction,
2-0 down at home. This is genuinely embarrassing.,reaction,
Three points! Finally! What a relief.,reaction,
I'm not even mad. That was a beautiful goal. Fair play.,reaction,
This team is going to give me a heart attack.,reaction,
That's handball. That's absolutely handball. I don't care what VAR says.,reaction,
Stunning free kick. Even I can appreciate that as a neutral.,reaction,
My heart cannot take this. Extra time again.,reaction,
We threw that away. Absolute shambles in the last ten minutes.,reaction,
HE SCORED FROM THAT DISTANCE?! You're having a laugh.,reaction,
There's no coming back from this. Season over.,reaction,
Draw at home to bottom of the table. Unacceptable.,reaction,
GOAL! GOAL! GOAL! I don't care how it went in!,reaction,
Goalkeeper had no chance with that one. Absolute rocket.,reaction,
Late winner! I've lost my voice completely.,reaction,
Own goal to lose the match. Football is cruel.,reaction,
I just got up at 3am to watch this. Was it worth it? Absolutely not. We were terrible.,reaction,
The atmosphere in that stadium looks incredible. Must be something else to be there.,reaction,
Three assists in one game. I am absolutely watching a generational talent right now.,reaction,
That's us out of the title race. Can't drop points at home like that.,reaction,
Not one shot on target in 90 minutes. Zero. What are we doing.,reaction,
Injury to our best player. Of course. Of course this happens.,reaction,
That comeback from 3-0 down. Football is the best sport in the world.,reaction,
Booked for celebrating. I genuinely hate modern football sometimes.,reaction,
Four games unbeaten and I'm starting to believe. Don't make me regret this.,reaction,
He hasn't scored in 8 games. 8. The drought is real.,reaction,
That offside was millimeters. MILLIMETERS. And it's given against us.,reaction,
Cup final next week and I cannot sleep. Genuinely cannot sleep.,reaction,
I've watched this goal back 12 times. Still gets me.,reaction,
Worst performance of the season and that's saying something.,reaction,
Just seen the injury news. Season ruined.,reaction,
Full time whistle and I'm already on a high. Best feeling in football.,reaction,
Two yellows in ten minutes. We're playing with 10 men for an hour. Great.,reaction,
That's the cleanest hat-trick I've seen in years. Stunning.,reaction,
Baffling team selection today. Absolutely baffling.,reaction,Reacting to today's specific lineup announcement. reaction — tied to a specific event not a general opinion.
Last minute winner away from home. The scenes!!! Unreal.,reaction,
Corner after corner and we can't score. Absolutely dire.,reaction,
I'm a neutral and even I'm buzzing after that goal.,reaction,
OMG he just nutmegged the keeper. The audacity!!!,reaction,
Nil nil at half time and I've already checked the score of the other game. Not good.,reaction,
That header was absolutely gorgeous. Pure technique.,reaction,
